hour, prob leave, prob no leave
0:00, 0.0000, 1.0000
1:00, 0.0000, 1.0000
2:00, 0.0000, 1.0000
3:00, 0.0000, 1.0000
4:00, 0.0000, 1.0000
5:00, 0.0000, 1.0000
6:00, 0.0000, 1.0000
7:00, 0.1282, 0.8718
8:00, 0.4706, 0.5294
9:00, 0.6111, 0.3889
10:00, 0.7500, 0.2500
11:00, 0.5000, 0.5000
12:00, 0.0000, 1.0000
13:00, 0.0000, 1.0000
14:00, 0.3333, 0.6667
15:00, 0.0000, 1.0000
16:00, 0.0000, 1.0000
17:00, 0.0000, 1.0000
18:00, 0.2857, 0.7143
19:00, 0.2857, 0.7143
20:00, 0.0000, 1.0000
21:00, 0.0952, 0.9048
22:00, 0.0714, 0.9286
23:00, 0.0000, 1.0000
