hour, prob arrive, prob no arrive
0:00, 0.2500, 0.7500
1:00, 0.0000, 1.0000
2:00, 0.0000, 1.0000
3:00, 0.0000, 1.0000
4:00, 0.0000, 1.0000
5:00, 0.0000, 1.0000
6:00, 0.0000, 1.0000
7:00, 0.0000, 1.0000
8:00, 0.0000, 1.0000
9:00, 0.0370, 0.9630
10:00, 0.0000, 1.0000
11:00, 0.0000, 1.0000
12:00, 0.0000, 1.0000
13:00, 0.0455, 0.9545
14:00, 0.0000, 1.0000
15:00, 0.0233, 0.9767
16:00, 0.0476, 0.9524
17:00, 0.0500, 0.9500
18:00, 0.0526, 0.9474
19:00, 0.1842, 0.8158
20:00, 0.2727, 0.7273
21:00, 0.3750, 0.6250
22:00, 0.2353, 0.7647
23:00, 0.4286, 0.5714
